ITEM	QTY/BD	REF DES	DESCRIPTION	Mfr.	Mfr's PN	NOTES
38	78	X3/R11,X3/R12,X3/X1/R12,X3/X2/R1,X3/X2/R2,X3/X2/R6,X3/X2/R7,X3/X2/X1/R3,X3/X2/X1/R4,X3/X2/X1/R5,X3/X2/X1/R6,X3/X2/X2/R3,X3/X2/X2/R4,X3/X2/X2/R5,X3/X2/X2/R6,X3/X3/R1,X3/X3/R2,X3/X3/R6,X3/X3/R7,X3/X3/X1/R3,X3/X3/X1/R4,X3/X3/X1/R5,X3/X3/X1/R6,X3/X3/X2/R3,X3/X3/X2/R4,X3/X3/X2/R5,X3/X3/X2/R6,X3/X4/R1,X3/X4/R2,X3/X4/R6,X3/X4/R7,X3/X4/X1/R3,X3/X4/X1/R4,X3/X4/X1/R5,X3/X4/X1/R6,X3/X4/X2/R3,X3/X4/X2/R4,X3/X4/X2/R5,X3/X4/X2/R6,X4/R11,X4/R12,X4/X1/R12,X4/X2/R1,X4/X2/R2,X4/X2/R6,X4/X2/R7,X4/X2/X1/R3,X4/X2/X1/R4,X4/X2/X1/R5,X4/X2/X1/R6,X4/X2/X2/R3,X4/X2/X2/R4,X4/X2/X2/R5,X4/X2/X2/R6,X4/X3/R1,X4/X3/R2,X4/X3/R6,X4/X3/R7,X4/X3/X1/R3,X4/X3/X1/R4,X4/X3/X1/R5,X4/X3/X1/R6,X4/X3/X2/R3,X4/X3/X2/R4,X4/X3/X2/R5,X4/X3/X2/R6,X4/X4/R1,X4/X4/R2,X4/X4/R6,X4/X4/R7,X4/X4/X1/R3,X4/X4/X1/R4,X4/X4/X1/R5,X4/X4/X1/R6,X4/X4/X2/R3,X4/X4/X2/R4,X4/X4/X2/R5,X4/X4/X2/R6	RESISTOR 3.74k 1% 1/10W 0603	Panasonic Electronic Components	ERJ-3EKF3741V	
39	22	X3/X11/U1,X3/X12/U1,X3/X13/U1,X3/X14/U1,X3/X2/U1,X3/X3/U1,X3/X4/U1,X3/X6/U1,X3/X7/U1,X3/X8/U1,X3/X9/U1,X4/X11/U1,X4/X12/U1,X4/X13/U1,X4/X14/U1,X4/X2/U1,X4/X3/U1,X4/X4/U1,X4/X6/U1,X4/X7/U1,X4/X8/U1,X4/X9/U1	DG403 unknown unknown SO16	**MISSING**	**MISSING**	
40	68	X3/C2,X3/C3,X3/C31,X3/C32,X3/C5,X3/X1/C11,X3/X1/C3,X3/X1/C4,X3/X10/C11,X3/X10/C12,X3/X11/C1,X3/X11/C3,X3/X12/C1,X3/X12/C3,X3/X13/C1,X3/X13/C3,X3/X14/C1,X3/X14/C3,X3/X2/C1,X3/X2/C3,X3/X3/C1,X3/X3/C3,X3/X4/C1,X3/X4/C3,X3/X5/C11,X3/X5/C12,X3/X6/C1,X3/X6/C3,X3/X7/C1,X3/X7/C3,X3/X8/C1,X3/X8/C3,X3/X9/C1,X3/X9/C3,X4/C2,X4/C3,X4/C31,X4/C32,X4/C5,X4/X1/C11,X4/X1/C3,X4/X1/C4,X4/X10/C11,X4/X10/C12,X4/X11/C1,X4/X11/C3,X4/X12/C1,X4/X12/C3,X4/X13/C1,X4/X13/C3,X4/X14/C1,X4/X14/C3,X4/X2/C1,X4/X2/C3,X4/X3/C1,X4/X3/C3,X4/X4/C1,X4/X4/C3,X4/X5/C11,X4/X5/C12,X4/X6/C1,X4/X6/C3,X4/X7/C1,X4/X7/C3,X4/X8/C1,X4/X8/C3,X4/X9/C1,X4/X9/C3	CAPACITOR 22nF 50WVDC X7R 0603	Murata Electronics North America	GRM188R71H223KA01D	
41	66	X3/X11/R3,X3/X11/R4,X3/X11/R5,X3/X12/R3,X3/X12/R4,X3/X12/R5,X3/X13/R3,X3/X13/R4,X3/X13/R5,X3/X14/R3,X3/X14/R4,X3/X14/R5,X3/X2/R3,X3/X2/R4,X3/X2/R5,X3/X3/R3,X3/X3/R4,X3/X3/R5,X3/X4/R3,X3/X4/R4,X3/X4/R5,X3/X6/R3,X3/X6/R4,X3/X6/R5,X3/X7/R3,X3/X7/R4,X3/X7/R5,X3/X8/R3,X3/X8/R4,X3/X8/R5,X3/X9/R3,X3/X9/R4,X3/X9/R5,X4/X11/R3,X4/X11/R4,X4/X11/R5,X4/X12/R3,X4/X12/R4,X4/X12/R5,X4/X13/R3,X4/X13/R4,X4/X13/R5,X4/X14/R3,X4/X14/R4,X4/X14/R5,X4/X2/R3,X4/X2/R4,X4/X2/R5,X4/X3/R3,X4/X3/R4,X4/X3/R5,X4/X4/R3,X4/X4/R4,X4/X4/R5,X4/X6/R3,X4/X6/R4,X4/X6/R5,X4/X7/R3,X4/X7/R4,X4/X7/R5,X4/X8/R3,X4/X8/R4,X4/X8/R5,X4/X9/R3,X4/X9/R4,X4/X9/R5	RESISTOR 100 1% 1/10W 0603	**MISSING**	**MISSING**	
42	64	X3/X11/R6,X3/X11/R7,X3/X11/R8,X3/X11/R9,X3/X12/R6,X3/X12/R7,X3/X12/R8,X3/X12/R9,X3/X13/R6,X3/X13/R7,X3/X13/R8,X3/X13/R9,X3/X14/R6,X3/X14/R7,X3/X14/R8,X3/X14/R9,X3/X6/R6,X3/X6/R7,X3/X6/R8,X3/X6/R9,X3/X7/R6,X3/X7/R7,X3/X7/R8,X3/X7/R9,X3/X8/R6,X3/X8/R7,X3/X8/R8,X3/X8/R9,X3/X9/R6,X3/X9/R7,X3/X9/R8,X3/X9/R9,X4/X11/R6,X4/X11/R7,X4/X11/R8,X4/X11/R9,X4/X12/R6,X4/X12/R7,X4/X12/R8,X4/X12/R9,X4/X13/R6,X4/X13/R7,X4/X13/R8,X4/X13/R9,X4/X14/R6,X4/X14/R7,X4/X14/R8,X4/X14/R9,X4/X6/R6,X4/X6/R7,X4/X6/R8,X4/X6/R9,X4/X7/R6,X4/X7/R7,X4/X7/R8,X4/X7/R9,X4/X8/R6,X4/X8/R7,X4/X8/R8,X4/X8/R9,X4/X9/R6,X4/X9/R7,X4/X9/R8,X4/X9/R9	RESISTOR 75 1% 1/10W 0603	**MISSING**	**MISSING**	
43	1	U1	REFERENCE REF43GS N/A SO8	Analog Devices	REF43GSZ	
44	5	R5,X3/X1/R21,X3/X1/R22,X4/X1/R21,X4/X1/R22	RESISTOR 1 1% 1/10W 0603	Panasonic Electronic Components	ERJ-3RQF1R0V	
45	1	R3	RESISTOR 14.7k 1% 1/10W 0603	Panasonic Electronic Components	 ERJ-3EKF1472V	
46	1	C3	CAPACITOR 620pF 50WVDC X7R 0603	**MISSING**	**MISSING**	
47	1	R4	RESISTOR 4.75k 1% 1/10W 0603	Panasonic Electronic Components	ERJ-3EKF4751V	
48	6	C1,C2,X3/C7,X3/X1/C2,X4/C7,X4/X1/C2	CAPACITOR 1uF 10WVDC X7R 0805	Murata Electronics North America	GRM21BR71A105KA01L	
49	37	C4,X3/C6,X3/X10/C2,X3/X10/C4,X3/X10/C7,X3/X11/C2,X3/X12/C2,X3/X13/C2,X3/X14/C2,X3/X2/C2,X3/X3/C2,X3/X4/C2,X3/X5/C2,X3/X5/C4,X3/X5/C7,X3/X6/C2,X3/X7/C2,X3/X8/C2,X3/X9/C2,X4/C6,X4/X10/C2,X4/X10/C4,X4/X10/C7,X4/X11/C2,X4/X12/C2,X4/X13/C2,X4/X14/C2,X4/X2/C2,X4/X3/C2,X4/X4/C2,X4/X5/C2,X4/X5/C4,X4/X5/C7,X4/X6/C2,X4/X7/C2,X4/X8/C2,X4/X9/C2	CAPACITOR 0.1uF 16WVDC X7R 0603	Murata Electronics North America	GRM188R71C104KA01D	
50	2	R1,R2	RESISTOR 51.1 1% 1/10W 0603	**MISSING**	**MISSING**	
51	9	U2,X3/U1,X3/X1/U2,X3/X10/U1,X3/X5/U1,X4/U1,X4/X1/U2,X4/X10/U1,X4/X5/U1	DUAL_OPAMP LM6142AIM N/A SO8	Texas Instruments	LM6142AIM/NOPB	
52	1	Js	StackConn unknown unknown RC422-200-201-3900	**MISSING**	**MISSING**	
53	1	C7	POLARIZED_CAPACITOR 100uF 15WVDC, low R 2915	**MISSING**	**MISSING**	
54	1	C5	POLARIZED_CAPACITOR 10uF 35WVDC 2915	**MISSING**	**MISSING**	
55	1	C9	POLARIZED_CAPACITOR 33uF 25WVDC 2915	**MISSING**	**MISSING**	
56	7	C8,X3/X1/C10,X3/X10/C5,X3/X5/C5,X4/X1/C10,X4/X10/C5,X4/X5/C5	CAPACITOR 4.7uF 10WVDC X7R 1812	TDK Corp	C4532X7R1E475K200KM	
57	3	C10,X3/X1/C13,X4/X1/C13	CAPACITOR 3.3uF 25WVDC X7R 2225	**MISSING**	**MISSING**	
58	1	C6	CAPACITOR 2.2uF 50WVDC X7R 2225	**MISSING**	**MISSING**	
