ITEM	QTY/BD	REF DES	DESCRIPTION	Mfr.	Mfr's PN	NOTES
49	4	X1/R45,X2/R45,X3/R45,X4/R45	RESISTOR 40.2k 1% 0603	**MISSING**	**MISSING**	
50	4	X1/R46,X2/R46,X3/R46,X4/R46	RESISTOR 37.4k 1% 0603	**MISSING**	**MISSING**	
51	4	X1/R47,X2/R47,X3/R47,X4/R47	RESISTOR 3.01Meg 1% 0603	Vishay Dale	CRCW06033M01FKEA	
52	20	X1/R54,X1/X1/R8,X1/X2/R8,X1/X3/R8,X1/X4/R8,X2/R54,X2/X1/R8,X2/X2/R8,X2/X3/R8,X2/X4/R8,X3/R54,X3/X1/R8,X3/X2/R8,X3/X3/R8,X3/X4/R8,X4/R54,X4/X1/R8,X4/X2/R8,X4/X3/R8,X4/X4/R8	RESISTOR 0 1% 0603	Panasonic Electronic Components	ERJ-3GEY0R00V	
53	16	X1/X5/C2,X1/X5/C5,X1/X6/C2,X1/X6/C5,X2/X5/C2,X2/X5/C5,X2/X6/C2,X2/X6/C5,X3/X5/C2,X3/X5/C5,X3/X6/C2,X3/X6/C5,X4/X5/C2,X4/X5/C5,X4/X6/C2,X4/X6/C5	CAPACITOR 47nF 50WVDC X7R 0805	Murata Electronics North America	GRM21BR71H473KA01L	
54	40	X1/R13,X1/R19,X1/R25,X1/R30,X1/R35,X1/R6,X1/X5/R12,X1/X5/R5,X1/X6/R12,X1/X6/R5,X2/R13,X2/R19,X2/R25,X2/R30,X2/R35,X2/R6,X2/X5/R12,X2/X5/R5,X2/X6/R12,X2/X6/R5,X3/R13,X3/R19,X3/R25,X3/R30,X3/R35,X3/R6,X3/X5/R12,X3/X5/R5,X3/X6/R12,X3/X6/R5,X4/R13,X4/R19,X4/R25,X4/R30,X4/R35,X4/R6,X4/X5/R12,X4/X5/R5,X4/X6/R12,X4/X6/R5	RESISTOR 470 1% 1/10W 0603	Rohm Semiconductor	MCR03ERTF4700	
55	16	X1/X5/C1,X1/X5/C4,X1/X6/C1,X1/X6/C4,X2/X5/C1,X2/X5/C4,X2/X6/C1,X2/X6/C4,X3/X5/C1,X3/X5/C4,X3/X6/C1,X3/X6/C4,X4/X5/C1,X4/X5/C4,X4/X6/C1,X4/X6/C4	CAPACITOR 330pF 50WVDC X7R 0603	Murata Electronics North America	GRM188R72E331KW07D	
56	16	X1/X5/R2,X1/X5/R9,X1/X6/R2,X1/X6/R9,X2/X5/R2,X2/X5/R9,X2/X6/R2,X2/X6/R9,X3/X5/R2,X3/X5/R9,X3/X6/R2,X3/X6/R9,X4/X5/R2,X4/X5/R9,X4/X6/R2,X4/X6/R9	RESISTOR 300k 1% 0603	Panasonic Electronic Components	ERJ-3EKF3003V	
57	32	X1/X5/R1,X1/X5/R10,X1/X5/R3,X1/X5/R8,X1/X6/R1,X1/X6/R10,X1/X6/R3,X1/X6/R8,X2/X5/R1,X2/X5/R10,X2/X5/R3,X2/X5/R8,X2/X6/R1,X2/X6/R10,X2/X6/R3,X2/X6/R8,X3/X5/R1,X3/X5/R10,X3/X5/R3,X3/X5/R8,X3/X6/R1,X3/X6/R10,X3/X6/R3,X3/X6/R8,X4/X5/R1,X4/X5/R10,X4/X5/R3,X4/X5/R8,X4/X6/R1,X4/X6/R10,X4/X6/R3,X4/X6/R8	RESISTOR 100k 1% 0603	Panasonic Electronic Components	ERJ-3EKF1003V	
58	32	X1/X1/R25,X1/X2/R25,X1/X3/R25,X1/X4/R25,X1/X5/R13,X1/X5/R7,X1/X6/R13,X1/X6/R7,X2/X1/R25,X2/X2/R25,X2/X3/R25,X2/X4/R25,X2/X5/R13,X2/X5/R7,X2/X6/R13,X2/X6/R7,X3/X1/R25,X3/X2/R25,X3/X3/R25,X3/X4/R25,X3/X5/R13,X3/X5/R7,X3/X6/R13,X3/X6/R7,X4/X1/R25,X4/X2/R25,X4/X3/R25,X4/X4/R25,X4/X5/R13,X4/X5/R7,X4/X6/R13,X4/X6/R7	RESISTOR 1.00Meg 1% 0603	Panasonic Electronic Components	ERJ-3EKF1004V	
59	52	X1/R57,X1/X1/R41,X1/X2/R41,X1/X3/R41,X1/X4/R41,X1/X5/R11,X1/X5/R14,X1/X5/R15,X1/X5/R4,X1/X6/R11,X1/X6/R14,X1/X6/R15,X1/X6/R4,X2/R57,X2/X1/R41,X2/X2/R41,X2/X3/R41,X2/X4/R41,X2/X5/R11,X2/X5/R14,X2/X5/R15,X2/X5/R4,X2/X6/R11,X2/X6/R14,X2/X6/R15,X2/X6/R4,X3/R57,X3/X1/R41,X3/X2/R41,X3/X3/R41,X3/X4/R41,X3/X5/R11,X3/X5/R14,X3/X5/R15,X3/X5/R4,X3/X6/R11,X3/X6/R14,X3/X6/R15,X3/X6/R4,X4/R57,X4/X1/R41,X4/X2/R41,X4/X3/R41,X4/X4/R41,X4/X5/R11,X4/X5/R14,X4/X5/R15,X4/X5/R4,X4/X6/R11,X4/X6/R14,X4/X6/R15,X4/X6/R4	RESISTOR 301k 1% 0603	**MISSING**	**MISSING**	
60	16	X1/L1,X1/L2,X1/L3,X1/L4,X2/L1,X2/L2,X2/L3,X2/L4,X3/L1,X3/L2,X3/L3,X3/L4,X4/L1,X4/L2,X4/L3,X4/L4	EXC-3BB102H unknown unknown 0603	Wurth Electronics Inc	74279266	
61	16	X1/R49,X1/R50,X1/R52,X1/R53,X2/R49,X2/R50,X2/R52,X2/R53,X3/R49,X3/R50,X3/R52,X3/R53,X4/R49,X4/R50,X4/R52,X4/R53	RESISTOR 3.74k 1% 1/10W 0603	Panasonic Electronic Components	ERJ-3EKF3741V	
62	4	J1,J2,J3,J4	Flexprint unknown unknown NK-2M2-051	**MISSING**	**MISSING**	
63	1	J5	TempConn MDM31P unknown MDM31P	**MISSING**	**MISSING**	
64	1	R5	RESISTOR 7.5k 1% 1/10W 0603	Panasonic Electronic Components	ERJ-3EKF7501V	
65	1	R6	RESISTOR 7.15k 1% 1/10W 0603	Panasonic Electronic Components	ERJ-3EKF7151V	
66	5	U9,X1/U6,X2/U6,X3/U6,X4/U6	REFERENCE REF43GS N/A SO8	Analog Devices	REF43GSZ	
